Sim	Year	Month	QM	erieOut	ontNBS	stlouisontOut	ontNTS	iceInd	lsdamR	saundershwR	ptclaireR	ogdensburgR	cardinalR	iroquoishwR	iroquoistwR	morrisburgR	saunderstwR	cornwallR	summerstownR	jetty1R	varennesR	sorelR	stpierreR	threeriversR	batiscanR	ontNBS_QM1	ontNBS_QM2	ontNBS_QM3	ontNBS_QM4	erieOut_QM1	erieOut_QM2	erieOut_QM3	erieOut_QM4	slonFlow_QM1	slonFlow_QM2	slonFlow_QM3	slonFlow_QM4	ontNTS_QM1	ontNTS_QM2	ontNTS_QM3	ontNTS_QM4	forNTS	indicator	confidence	ontLevel	ontFlow	kingstonLevel	stlouisFlow	airTemp	freezingDiff
1	2030	1	1	5313	1801	1345	7114	2	1.14445454545455	1.15268595041322	1.06893388429752	1.07611881190083	1.09388118809917	1.11475247520661	1.1165544553719	1.19484158413223	1.07134653471074	1.24738613867769	1.32515841586777	1.0766930692562	1.08367326727273	1.07271287123967	1.04197029702479	1.03821782181818	1.00236633669421																		-1.0		74.744				62.3946451612903	30.39464516129032
2	2030	1	2	5112	1443	1145	6555	2	1.39779338842975	1.4129173553719	1.12867768595041	1.17502970297521	1.21953465338843	1.30802970297521	1.326	1.54179207917355	1.12281188115702	1.59468316826446	1.56801980198347	1.12358415834711	1.12579207917355	1.11642574264463	1.07558415834711	1.06161386132231	1.02725742578512																		-1.0		74.744				62.3946451612903	30.39464516129032
3	2030	1	3	4974	2903	1453	7877	2	1.59786776859504	1.60918181818182	1.13006611570248	1.2446930692562	1.28202970297521	1.44702970297521	1.46618811884298	1.70017821785124	1.13140594066116	1.69073267322314	1.69745544561983	1.13015841586777	1.13940594066116	1.12278217818182	1.06638613867769	1.04485148512397	1.01171287123967																		-1.0		74.744				62.3946451612903	30.39464516129032
4	2030	1	4	5038	2457	1702	7495	2	1.64182644628099	1.6529173553719	1.13690909090909	1.25595049504132	1.28009900991736	1.46291089107438	1.47249504958678	1.67224752479339	1.12527722776859	1.69040594066116	1.70301980198347	1.13123762380165	1.14326732677686	1.12997029702479	1.08859405933884	1.06926732677686	1.04526732677686																		-1.0		74.744				62.3946451612903	30.39464516129032
5	2030	2	5	5329	2973	1419	8302	2	1.69309917355372	1.69995041322314	1.12854545454545	1.2685544553719	1.31542574264463	1.5165544553719	1.52627722776859	1.73959405933884	1.11993069305785	1.65481188115702	1.70932673272727	1.14074257421488	1.15296039603306	1.14480198016529	1.0971386138843	1.08150495041322	1.05221782181818																		-1.0		74.744				51.6711428571429	19.6711428571429
6	2030	2	6	5396	1828	1377	7224	2	1.72495041322314	1.72929752066116	1.12405785123967	1.27008910892562	1.33237623768595	1.51864356429752	1.52479207917355	1.73296039603306	1.11587128710744	1.65824752479339	1.73772277223141	1.1455544553719	1.16411881190083	1.13614851487603	1.08387128710744	1.06326732677686	1.03484158413223									1186.578105696	1022.5255256612672	940.9927693183058	1131.141555935622						-1.0		74.744				51.6711428571429	19.6711428571429
7	2030	2	7	5499	1767	1165	7266	1	1.65227272727273	1.65789256198347	1.07989256198347	1.26850495041322	1.32922772280992	1.50479207917355	1.50507920793388	1.69179207917355	1.10958415834711	1.58690099008264	1.71471287123967	1.13437623768595	1.14838613867769	1.13458415834711	1.08391089107438	1.07639603966942	1.03789108909091									1187.849814296	1057.220817067787	1216.8779533042064	1178.427170863938						-1.0		74.744				51.6711428571429	19.6711428571429
8	2030	2	8	5536	1167	1014	6703	0	1.58414876033058	1.58960330578512	1.07427272727273	1.25028712876033	1.29548514859504	1.45740594066116	1.4591683168595	1.60991089107438	1.10199009900826	1.5505544553719	1.78047524760331	1.12377227719008	1.1418316831405	1.10488118809917	1.06632673272727	1.06857425735537	1.05268316826446									1037.382608296	1202.9310838185872	1168.139169237651	1382.32779731237						-1.0		74.744				51.6711428571429	19.6711428571429
9	2030	3	9	5553	1512	896	7065	0	1.50997520661157	1.51355371900826	1.0576694214876	1.22751485140496	1.26420792082645	1.38514851487603	1.3903069307438	1.52097029702479	1.09635643570248	1.53838613867769	1.77494059404959	1.11023762380165	1.12306930694215	1.10570297024793	1.08215841586777	1.08311881190083	1.06861386132231									1182.6303032960002	1153.8670976175874	1371.799908154943	1783.2713425514862						-1.0		74.744				58.7817419354839	26.7817419354839
10	2030	3	10	5589	2593	1012	8182	0	1.40412396694215	1.40788429752066	1.03642148760331	1.18345544561983	1.2168316831405	1.30095049504132	1.30635643570248	1.4108613861157	1.08833663371901	1.50550495041322	1.78634653471074	1.0837227722314	1.08990099008264	1.07059405933884	1.06258415834711	1.06750495041322	1.0583069307438									905.014668296	1196.8490145105873	1654.2176448604455	2212.5485969160472						-1.0		74.744				58.7817419354839	26.7817419354839
11	2030	3	11	5657	2791	1216	8448	0	1.28128925619835	1.28476033057851	1.02377685950413	1.10941584165289	1.13167326727273	1.1993069307438	1.19698019801653	1.2798316831405	1.07424752479339	1.41479207917355	1.65879207917355	1.05561386132231	1.05961386132231	1.04570297024793	1.02966336628099	1.03732673272727	1.01678217818182									1289.733679496	1719.5184144344275	2260.718146668244	2403.7446209184827						-1.0		74.744				58.7817419354839	26.7817419354839
12	2030	3	12	5689	1939	1271	7628	0	1.1150826446281	1.11655371900826	1.01669421487603	1.01984158413223	1.03943564363636	1.07087128710744	1.06408910892562	1.11	1.05123762380165	1.29285148512397	1.51749504958678	1.0171683168595	1.01262376231405	1.00581188115702	1.00392079206612	1.01337623768595	1.0028613861157									1655.502833896	2215.713229284507	2370.5464423801227	2530.594977906243						-1.0		74.744				58.7817419354839	26.7817419354839
13	2030	4	13	5705	3081	1676	8786	0	1.00985123966942	1.00944628099174	1.01235537190083	1.0028316831405	0.992207920826446	1.00091089107438	0.993425742644628	1.0112772277686	1.02124752479339	1.11559405933884	1.25064356429752	1.01548514859504	1.01554455438017	1.0188613861157	1.028	1.02212871289256	1.02066336628099									1881.887868896	2135.856970871507	2357.474718406956	2385.472087877864						-1.0		74.744				77.01400000000001	45.014
14	2030	4	14	5736	2665	1971	8401	0	0.970702479338843	0.967173553719008	1.00585123966942	0.971237623801653	0.971900990082645	0.975019801983471	0.967663366280992	0.975851485123967	1.0044455446281	0.997079207933884	1.0176930692562	1.0048316831405	1.00502970297521	1.01162376231405	1.02499009900826	1.01478217818182	1.01160396033058									1957.105123096	2231.806684567948	2292.7722215859258	2337.26924752702						-1.0		74.744				77.01400000000001	45.014
15	2030	4	15	5816	1970	1833	7786	0	0.985206611570248	0.980471074380165	1.00501652892562	0.996683168264463	0.982514851404959	0.985455445619835	0.975217821818182	0.98491089107438	0.997326732727273	0.937970297024793	0.875247524793388	1.00108910892562	1.00120792082645	1.0066930692562	1.01187128710744	1.00454455438017	1.01131683173554									2243.870216696	2301.2532548314675	2343.525338466474	2242.797091722075						-1.0		74.744				77.01400000000001	45.014
16	2030	4	16	5863	1028	1621	6891	0	0.992206611570248	0.987735537190083	1.00494214876033	1.02333663371901	1.00060396033058	1.00204950495868	0.997118811900826	1.00141584165289	0.995227722809917	0.949445544628099	0.89862376231405	1.00596039603306	1.00980198016529	1.0171386138843	1.01014851487603	1.01046534661157	1.02815841586777									1944.535732696	2092.7419748226675	2057.8050649684337	1937.4826562514584						-1.0		74.744				77.01400000000001	45.014
17	2030	5	17	5971	612	1177	6583	0	0.980413223140496	0.974123966942149	1.00374380165289	1.00395049504132	0.983633663305785	0.984920792066116	0.98191089107438	0.984079207933884	0.988930693057851	0.929118811900826	0.866762376198347	1.00399009900826	1.00622772280992	1.01160396033058	1.01768316826446	1.00634653471074	1.00680198016529									1811.848251696	1860.3281586184671	1791.8124945153468	1623.8218349293506						-1.0		74.744				93.5236774193548	61.5236774193548
18	2030	5	18	6019	2512	1526	8531	0	0.97696694214876	0.970173553719008	1.00357024793388	1.02025742578512	0.987920792066116	0.989019801983471	0.98537623768595	0.989069306942149	0.989584158347107	0.932990099008264	0.878732673223141	0.999415841652893	1.0034455446281	1.00763366330579	1.01967326727273	1.00517821785124	1.00627722776859									1309.1529064959998	1404.319379915827	1337.9849453473948	1228.7164942358295						-1.0		74.744				93.5236774193548	61.5236774193548
19	2030	5	19	6050	2109	2050	8159	0	0.981157024793388	0.974338842975207	1.00365289256198	1.01097029702479	0.986980198016529	0.987970297024793	0.984475247603306	0.987772277190083	0.989970297024793	0.938118811900826	0.882326732727273	1.00145544561983	1.00565346528926	1.01062376231405	1.02428712876033	1.00905940595041	1.0161683168595									1592.5860264960002	1470.3421746998274	1326.3506903708635	1152.9080617315794						-1.0		74.744				93.5236774193548	61.5236774193548
20	2030	5	20	6033	2009	1889	8042	0	0.981553719008264	0.97597520661157	1.00089256198347	1.01922772280992	0.991138613884297	0.991504950413223	0.988613861322314	0.993653465289256	0.987277227768595	0.927039603966942	0.866029702975207	0.994188118842975	0.99817821785124	1.00271287123967	1.02364356429752	1.00705940595041	1.02450495041322									1867.468986496	1605.5430245718271	1358.8561557657342	1179.5107055829612						-1.0		74.744				93.5236774193548	61.5236774193548
21	2030	6	21	5995	997	1778	6992	0	0.981826446280992	0.975586776859504	0.998801652892562	1.00606930694215	0.986980198016529	0.986980198016529	0.983227722809917	0.989653465289256	0.988029702975207	0.931039603966942	0.883792079173554	0.986009900991735	0.990158415867769	0.986158415867769	0.996673267272727	0.989415841652893	0.996138613884297									1624.236250496	1371.9980671766275	1189.2049244976215	1080.1176122589372						-1.0		74.744				103.914	71.914
22	2030	6	22	5978	401	1398	6379	0	0.990743801652893	0.983669421487603	0.997842975206612	1.02928712876033	1.00462376231405	1.00464356429752	0.995128712892562	1.00404950495868	0.990168316859504	0.935881188099174	0.879297029752066	0.983752475206612	0.991019801983471	0.987	0.986544554380165	0.98553465338843	0.990198019834711					5929.3169375004	5850.751093080628	5860.8389586384965	5864.651582972198	1505.495754496	1283.057894949427	1149.3488840963662	1035.512836649228						-1.0		74.744				103.914	71.914
23	2030	6	23	5909	269	953	6178	0	1.00333884297521	0.994925619834711	1.00047107438017	1.03076237619835	1.0128613861157	1.01057425735537	1.00502970297521	1.01394059404959	0.992762376198347	0.944841584132231	0.901495049586777	0.990475247603306	0.99691089107438	0.991247524793388	0.992495049586777	0.996118811900826	1.00548514859504					5978.0	5900.0919810304	5952.3271663504	5904.899760620492	1189.730080896	1083.7365671299071	987.113471877699	887.9475246795482						-1.0		74.744				103.914	71.914
24	2030	6	24	5857	569	822	6426	0	1.01747107438017	1.01020661157025	1.00147107438017	1.04012871289256	1.02346534661157	1.02257425735537	1.01503960396694	1.02296039603306	0.998306930743802	0.971188118842975	0.962346534710744	0.998415841652893	1.00815841586777	1.00184158413223	1.00343564363636	1.00990099008264	1.01448514859504					5909.0	5952.3271663504	5909.966641810401	5890.874417550508	878.207510896	842.6202388559074	781.3611242082123	723.2524533199914						-1.0		74.744				103.914	71.914
25	2030	7	25	5751	569	772	6320	0	1.02052066115702	1.0134132231405	1.00152892561983	1.03222772280992	1.0235544553719	1.02052475239669	1.01449504958678	1.02358415834711	0.998752475206612	0.978504950413223	0.970326732727273	0.998455445619835	1.00434653471074	0.998554455371901	1.00220792082645	1.00241584165289	1.00203960396694					5857.0	5909.966641810401	5836.6523253304	5847.890782502156	793.8208778960001	747.0536760853072	697.9453345829772	645.2902903776064						-1.0		74.744				107.6527096774193	75.6527096774193
