Sim	Year	Month	QM	erieOut	ontNBS	stlouisontOut	ontNTS	iceInd	lsdamR	saundershwR	ptclaireR	ogdensburgR	cardinalR	iroquoishwR	iroquoistwR	morrisburgR	saunderstwR	cornwallR	summerstownR	jetty1R	varennesR	sorelR	stpierreR	threeriversR	batiscanR	ontNBS_QM1	ontNBS_QM2	ontNBS_QM3	ontNBS_QM4	erieOut_QM1	erieOut_QM2	erieOut_QM3	erieOut_QM4	slonFlow_QM1	slonFlow_QM2	slonFlow_QM3	slonFlow_QM4	ontNTS_QM1	ontNTS_QM2	ontNTS_QM3	ontNTS_QM4	forNTS	indicator	confidence	ontLevel	ontFlow	kingstonLevel	stlouisFlow	airTemp	freezingDiff
1	2030	1	1	5389	1344	1025	6733	2	1.14445454545455	1.15268595041322	1.06893388429752	1.07611881190083	1.09388118809917	1.11475247520661	1.1165544553719	1.19484158413223	1.07134653471074	1.24738613867769	1.32515841586777	1.0766930692562	1.08367326727273	1.07271287123967	1.04197029702479	1.03821782181818	1.00236633669421																		-1.0		74.744				61.2606451612903	29.26064516129032
2	2030	1	2	5128	1080	999	6208	2	1.39779338842975	1.4129173553719	1.12867768595041	1.17502970297521	1.21953465338843	1.30802970297521	1.326	1.54179207917355	1.12281188115702	1.59468316826446	1.56801980198347	1.12358415834711	1.12579207917355	1.11642574264463	1.07558415834711	1.06161386132231	1.02725742578512																		-1.0		74.744				61.2606451612903	29.26064516129032
3	2030	1	3	4931	2501	1287	7432	2	1.59786776859504	1.60918181818182	1.13006611570248	1.2446930692562	1.28202970297521	1.44702970297521	1.46618811884298	1.70017821785124	1.13140594066116	1.69073267322314	1.69745544561983	1.13015841586777	1.13940594066116	1.12278217818182	1.06638613867769	1.04485148512397	1.01171287123967																		-1.0		74.744				61.2606451612903	29.26064516129032
4	2030	1	4	4996	2214	1612	7210	1	1.64182644628099	1.6529173553719	1.13690909090909	1.25595049504132	1.28009900991736	1.46291089107438	1.47249504958678	1.67224752479339	1.12527722776859	1.69040594066116	1.70301980198347	1.13123762380165	1.14326732677686	1.12997029702479	1.08859405933884	1.06926732677686	1.04526732677686																		-1.0		74.744				61.2606451612903	29.26064516129032
5	2030	2	5	5335	3000	1442	8335	1	1.69309917355372	1.69995041322314	1.12854545454545	1.2685544553719	1.31542574264463	1.5165544553719	1.52627722776859	1.73959405933884	1.11993069305785	1.65481188115702	1.70932673272727	1.14074257421488	1.15296039603306	1.14480198016529	1.0971386138843	1.08150495041322	1.05221782181818																		-1.0		74.744				50.537142857142896	18.5371428571429
6	2030	2	6	5403	1866	1358	7269	1	1.72495041322314	1.72929752066116	1.12405785123967	1.27008910892562	1.33237623768595	1.51864356429752	1.52479207917355	1.73296039603306	1.11587128710744	1.65824752479339	1.73772277223141	1.1455544553719	1.16411881190083	1.13614851487603	1.08387128710744	1.06326732677686	1.03484158413223									1197.497345696	1019.2098898292672	930.2156952729632	1117.9203827645647						-1.0		74.744				50.537142857142896	18.5371428571429
7	2030	2	7	5511	1870	1165	7381	1	1.65227272727273	1.65789256198347	1.07989256198347	1.26850495041322	1.32922772280992	1.50479207917355	1.50507920793388	1.69179207917355	1.10958415834711	1.58690099008264	1.71471287123967	1.13437623768595	1.14838613867769	1.13458415834711	1.08391089107438	1.07639603966942	1.03789108909091									1158.558294296	1028.1818994037872	1190.1858089563218	1159.4915660077222						-1.0		74.744				50.537142857142896	18.5371428571429
8	2030	2	8	5550	1221	1031	6771	1	1.58414876033058	1.58960330578512	1.07427272727273	1.25028712876033	1.29548514859504	1.45740594066116	1.4591683168595	1.60991089107438	1.10199009900826	1.5505544553719	1.78047524760331	1.12377227719008	1.1418316831405	1.10488118809917	1.06632673272727	1.06857425735537	1.05268316826446									1033.774588296	1194.1176408545873	1162.3919081243064	1377.4772414784018						-1.0		74.744				50.537142857142896	18.5371428571429
9	2030	3	9	5572	1321	928	6893	1	1.50997520661157	1.51355371900826	1.0576694214876	1.22751485140496	1.26420792082645	1.38514851487603	1.3903069307438	1.52097029702479	1.09635643570248	1.53838613867769	1.77494059404959	1.11023762380165	1.12306930694215	1.10570297024793	1.08215841586777	1.08311881190083	1.06861386132231									1191.7087432960002	1160.6983792255874	1376.2279985510086	1786.3448805315634						-1.0		74.744				57.6477419354839	25.6477419354839
10	2030	3	10	5611	2239	992	7850	1	1.40412396694215	1.40788429752066	1.03642148760331	1.18345544561983	1.2168316831405	1.30095049504132	1.30635643570248	1.4108613861157	1.08833663371901	1.50550495041322	1.78634653471074	1.0837227722314	1.08990099008264	1.07059405933884	1.06258415834711	1.06750495041322	1.0583069307438									931.746448296	1215.267765906587	1667.6114875704525	2223.222440586289						-1.0		74.744				57.6477419354839	25.6477419354839
11	2030	3	11	5685	2450	1203	8135	0	1.28128925619835	1.28476033057851	1.02377685950413	1.10941584165289	1.13167326727273	1.1993069307438	1.19698019801653	1.2798316831405	1.07424752479339	1.41479207917355	1.65879207917355	1.05561386132231	1.05961386132231	1.04570297024793	1.02966336628099	1.03732673272727	1.01678217818182									1267.579899496	1704.3885226384273	2250.3512666629563	2397.7757497618386						-1.0		74.744				57.6477419354839	25.6477419354839
12	2030	3	12	5720	1725	1321	7445	0	1.1150826446281	1.11655371900826	1.01669421487603	1.01984158413223	1.03943564363636	1.07087128710744	1.06408910892562	1.11	1.05123762380165	1.29285148512397	1.51749504958678	1.0171683168595	1.01262376231405	1.00581188115702	1.00392079206612	1.01337623768595	1.0028613861157									1648.320253896	2210.933553328507	2368.699009687123	2528.492499138671						-1.0		74.744				57.6477419354839	25.6477419354839
13	2030	4	13	5741	3402	1882	9143	0	1.00985123966942	1.00944628099174	1.01235537190083	1.0028316831405	0.992207920826446	1.00091089107438	0.993425742644628	1.0112772277686	1.02124752479339	1.11559405933884	1.25064356429752	1.01548514859504	1.01554455438017	1.0188613861157	1.028	1.02212871289256	1.02066336628099									1926.754108896	2168.912140439508	2381.118377809894	2402.028466532244						-1.0		74.744				75.88	43.88
14	2030	4	14	5775	2980	2266	8755	0	0.970702479338843	0.967173553719008	1.00585123966942	0.971237623801653	0.971900990082645	0.975019801983471	0.967663366280992	0.975851485123967	1.0044455446281	0.997079207933884	1.0176930692562	1.0048316831405	1.00502970297521	1.01162376231405	1.02499009900826	1.01478217818182	1.01160396033058									2130.0566230960003	2353.8017568679475	2381.8781782567858	2405.0206719708403						-1.0		74.744				75.88	43.88
15	2030	4	15	5859	2344	2275	8203	0	0.985206611570248	0.980471074380165	1.00501652892562	0.996683168264463	0.982514851404959	0.985455445619835	0.975217821818182	0.98491089107438	0.997326732727273	0.937970297024793	0.875247524793388	1.00108910892562	1.00120792082645	1.0066930692562	1.01187128710744	1.00454455438017	1.01131683173554									2471.827796696	2464.8541057874672	2466.228420294473	2343.084984073653						-1.0		74.744				75.88	43.88
16	2030	4	16	5909	1293	2021	7202	0	0.992206611570248	0.987735537190083	1.00494214876033	1.02333663371901	1.00060396033058	1.00204950495868	0.997118811900826	1.00141584165289	0.995227722809917	0.949445544628099	0.89862376231405	1.00596039603306	1.00980198016529	1.0171386138843	1.01014851487603	1.01046534661157	1.02815841586777									2293.968212696	2346.0903939586674	2254.464364830309	2097.350540841036						-1.0		74.744				75.88	43.88
17	2030	5	17	6019	733	1371	6752	0	0.980413223140496	0.974123966942149	1.00374380165289	1.00395049504132	0.983633663305785	0.984920792066116	0.98191089107438	0.984079207933884	0.988930693057851	0.929118811900826	0.866762376198347	1.00399009900826	1.00622772280992	1.01160396033058	1.01768316826446	1.00634653471074	1.00680198016529									2109.099391696	2087.852418366468	1974.4481233525607	1780.8184651327565						-1.0		74.744				92.3896774193548	60.3896774193548
18	2030	5	18	6069	2762	1711	8831	0	0.97696694214876	0.970173553719008	1.00357024793388	1.02025742578512	0.987920792066116	0.989019801983471	0.98537623768595	0.989069306942149	0.989584158347107	0.932990099008264	0.878732673223141	0.999415841652893	1.0034455446281	1.00763366330579	1.01967326727273	1.00517821785124	1.00627722776859									1447.034526496	1523.9334823998274	1448.4933248160037	1331.69702120267						-1.0		74.744				92.3896774193548	60.3896774193548
19	2030	5	19	6101	2415	2293	8516	0	0.981157024793388	0.974338842975207	1.00365289256198	1.01097029702479	0.986980198016529	0.987970297024793	0.984475247603306	0.987772277190083	0.989970297024793	0.938118811900826	0.882326732727273	1.00145544561983	1.00565346528926	1.01062376231405	1.02428712876033	1.00905940595041	1.0161683168595									1753.108306496	1609.610258195827	1450.546005510091	1255.63281975173						-1.0		74.744				92.3896774193548	60.3896774193548
20	2030	5	20	6083	2296	2097	8379	0	0.981553719008264	0.97597520661157	1.00089256198347	1.01922772280992	0.991138613884297	0.991504950413223	0.988613861322314	0.993653465289256	0.987277227768595	0.927039603966942	0.866029702975207	0.994188118842975	0.99817821785124	1.00271287123967	1.02364356429752	1.00705940595041	1.02450495041322									2078.344226496	1780.080367939827	1498.7160478618316	1291.902257118622						-1.0		74.744				92.3896774193548	60.3896774193548
