Sim	Year	Month	QM	erieOut	ontNBS	stlouisontOut	ontNTS	iceInd	lsdamR	saundershwR	ptclaireR	ogdensburgR	cardinalR	iroquoishwR	iroquoistwR	morrisburgR	saunderstwR	cornwallR	summerstownR	jetty1R	varennesR	sorelR	stpierreR	threeriversR	batiscanR	ontNBS_QM1	ontNBS_QM2	ontNBS_QM3	ontNBS_QM4	erieOut_QM1	erieOut_QM2	erieOut_QM3	erieOut_QM4	slonFlow_QM1	slonFlow_QM2	slonFlow_QM3	slonFlow_QM4	ontNTS_QM1	ontNTS_QM2	ontNTS_QM3	ontNTS_QM4	forNTS	indicator	confidence	ontLevel	ontFlow	kingstonLevel	stlouisFlow	airTemp	freezingDiff
1	2030	1	1	5480	1350	1038	6830	2	1.14445454545455	1.15268595041322	1.06893388429752	1.07611881190083	1.09388118809917	1.11475247520661	1.1165544553719	1.19484158413223	1.07134653471074	1.24738613867769	1.32515841586777	1.0766930692562	1.08367326727273	1.07271287123967	1.04197029702479	1.03821782181818	1.00236633669421																		-1.0		74.744				59.5866451612903	27.58664516129032
2	2030	1	2	5145	1097	957	6242	1	1.39779338842975	1.4129173553719	1.12867768595041	1.17502970297521	1.21953465338843	1.30802970297521	1.326	1.54179207917355	1.12281188115702	1.59468316826446	1.56801980198347	1.12358415834711	1.12579207917355	1.11642574264463	1.07558415834711	1.06161386132231	1.02725742578512																		-1.0		74.744				59.5866451612903	27.58664516129032
3	2030	1	3	4876	2584	1155	7460	1	1.59786776859504	1.60918181818182	1.13006611570248	1.2446930692562	1.28202970297521	1.44702970297521	1.46618811884298	1.70017821785124	1.13140594066116	1.69073267322314	1.69745544561983	1.13015841586777	1.13940594066116	1.12278217818182	1.06638613867769	1.04485148512397	1.01171287123967																		-1.0		74.744				59.5866451612903	27.58664516129032
4	2030	1	4	4942	2175	1384	7117	1	1.64182644628099	1.6529173553719	1.13690909090909	1.25595049504132	1.28009900991736	1.46291089107438	1.47249504958678	1.67224752479339	1.12527722776859	1.69040594066116	1.70301980198347	1.13123762380165	1.14326732677686	1.12997029702479	1.08859405933884	1.06926732677686	1.04526732677686																		-1.0		74.744				59.5866451612903	27.58664516129032
5	2030	2	5	5340	2927	1195	8267	1	1.69309917355372	1.69995041322314	1.12854545454545	1.2685544553719	1.31542574264463	1.5165544553719	1.52627722776859	1.73959405933884	1.11993069305785	1.65481188115702	1.70932673272727	1.14074257421488	1.15296039603306	1.14480198016529	1.0971386138843	1.08150495041322	1.05221782181818																		-1.0		74.744				48.8631428571429	16.8631428571429
6	2030	2	6	5410	1635	1101	7045	1	1.72495041322314	1.72929752066116	1.12405785123967	1.27008910892562	1.33237623768595	1.51864356429752	1.52479207917355	1.73296039603306	1.11587128710744	1.65824752479339	1.73772277223141	1.1455544553719	1.16411881190083	1.13614851487603	1.08387128710744	1.06326732677686	1.03484158413223									1010.979465696	881.886466413267	822.6363430551921	1027.1774167053502						-1.0		74.744				48.8631428571429	16.8631428571429
7	2030	2	7	5525	1434	930	6959	1	1.65227272727273	1.65789256198347	1.07989256198347	1.26850495041322	1.32922772280992	1.50479207917355	1.50507920793388	1.69179207917355	1.10958415834711	1.58690099008264	1.71471287123967	1.13437623768595	1.14838613867769	1.13458415834711	1.08391089107438	1.07639603966942	1.03789108909091									960.042294296	877.5822882037871	1067.7086609124815	1056.3340632021402						-1.0		74.744				48.8631428571429	16.8631428571429
8	2030	2	8	5569	832	835	6401	1	1.58414876033058	1.58960330578512	1.07427272727273	1.25028712876033	1.29548514859504	1.45740594066116	1.4591683168595	1.60991089107438	1.10199009900826	1.5505544553719	1.78047524760331	1.12377227719008	1.1418316831405	1.10488118809917	1.06632673272727	1.06857425735537	1.05268316826446									851.499568296	1049.3717084905873	1042.8076875138815	1275.9565614490284						-1.0		74.744				48.8631428571429	16.8631428571429
9	2030	3	9	5596	1416	803	7012	1	1.50997520661157	1.51355371900826	1.0576694214876	1.22751485140496	1.26420792082645	1.38514851487603	1.3903069307438	1.52097029702479	1.09635643570248	1.53838613867769	1.77494059404959	1.11023762380165	1.12306930694215	1.10570297024793	1.08215841586777	1.08311881190083	1.06861386132231									1035.046783296	1032.736825553587	1268.527722716978	1694.5431588018228						-1.0		74.744				55.9737419354839	23.9737419354839
10	2030	3	10	5640	2630	948	8270	1	1.40412396694215	1.40788429752066	1.03642148760331	1.18345544561983	1.2168316831405	1.30095049504132	1.30635643570248	1.4108613861157	1.08833663371901	1.50550495041322	1.78634653471074	1.0837227722314	1.08990099008264	1.07059405933884	1.06258415834711	1.06750495041322	1.0583069307438									831.273808296	1126.8930398585871	1590.065386991579	2155.5908880541942						-1.0		74.744				55.9737419354839	23.9737419354839
11	2030	3	11	5724	2948	1345	8672	0	1.28128925619835	1.28476033057851	1.02377685950413	1.10941584165289	1.13167326727273	1.1993069307438	1.19698019801653	1.2798316831405	1.07424752479339	1.41479207917355	1.65879207917355	1.05561386132231	1.05961386132231	1.04570297024793	1.02966336628099	1.03732673272727	1.01678217818182									1228.234719496	1661.3116973624274	2208.146205770333	2359.7251216718414						-1.0		74.744				55.9737419354839	23.9737419354839
12	2030	3	12	5763	2234	1632	7997	0	1.1150826446281	1.11655371900826	1.01669421487603	1.01984158413223	1.03943564363636	1.07087128710744	1.06408910892562	1.11	1.05123762380165	1.29285148512397	1.51749504958678	1.0171683168595	1.01262376231405	1.00581188115702	1.00392079206612	1.01337623768595	1.0028613861157									1762.687313896	2279.416374820508	2412.298038902478	2557.765031330689						-1.0		74.744				55.9737419354839	23.9737419354839
13	2030	4	13	5790	3666	2347	9456	0	1.00985123966942	1.00944628099174	1.01235537190083	1.0028316831405	0.992207920826446	1.00091089107438	0.993425742644628	1.0112772277686	1.02124752479339	1.11559405933884	1.25064356429752	1.01548514859504	1.01554455438017	1.0188613861157	1.028	1.02212871289256	1.02066336628099									2165.953648896	2332.530261067507	2498.923796103123	2495.13551557917						-1.0		74.744				74.206	42.206
14	2030	4	14	5830	2880	2774	8710	0	0.970702479338843	0.967173553719008	1.00585123966942	0.971237623801653	0.971900990082645	0.975019801983471	0.967663366280992	0.975851485123967	1.0044455446281	0.997079207933884	1.0176930692562	1.0048316831405	1.00502970297521	1.01162376231405	1.02499009900826	1.01478217818182	1.01160396033058									2489.714703096	2609.429281923947	2576.6506268384046	2563.924579881972						-1.0		74.744				74.206	42.206
15	2030	4	15	5920	2329	2662	8249	0	0.985206611570248	0.980471074380165	1.00501652892562	0.996683168264463	0.982514851404959	0.985455445619835	0.975217821818182	0.98491089107438	0.997326732727273	0.937970297024793	0.875247524793388	1.00108910892562	1.00120792082645	1.0066930692562	1.01187128710744	1.00454455438017	1.01131683173554									2856.245776696	2750.170196023467	2691.9224515053675	2532.99074849471						-1.0		74.744				74.206	42.206
16	2030	4	16	5971	1328	2265	7299	0	0.992206611570248	0.987735537190083	1.00494214876033	1.02333663371901	1.00060396033058	1.00204950495868	0.997118811900826	1.00141584165289	0.995227722809917	0.949445544628099	0.89862376231405	1.00596039603306	1.00980198016529	1.0171386138843	1.01014851487603	1.01046534661157	1.02815841586777									2581.526012696	2573.360415918667	2445.5326693759803	2264.7668822945243						-1.0		74.744				74.206	42.206
17	2030	5	17	6084	755	1512	6839	0	0.980413223140496	0.974123966942149	1.00374380165289	1.00395049504132	0.983633663305785	0.984920792066116	0.98191089107438	0.984079207933884	0.988930693057851	0.929118811900826	0.866762376198347	1.00399009900826	1.00622772280992	1.01160396033058	1.01768316826446	1.00634653471074	1.00680198016529									2298.552531696	2252.334294514468	2122.252807948254	1910.8152009939145						-1.0		74.744				90.7156774193548	58.715677419354805
18	2030	5	18	6136	2822	1790	8958	0	0.97696694214876	0.970173553719008	1.00357024793388	1.02025742578512	0.987920792066116	0.989019801983471	0.98537623768595	0.989069306942149	0.989584158347107	0.932990099008264	0.878732673223141	0.999415841652893	1.0034455446281	1.00763366330579	1.01967326727273	1.00517821785124	1.00627722776859									1569.449386496	1642.1637638518273	1556.67430424863	1424.8740192110592						-1.0		74.744				90.7156774193548	58.715677419354805
19	2030	5	19	6168	2514	2394	8682	0	0.981157024793388	0.974338842975207	1.00365289256198	1.01097029702479	0.986980198016529	0.987970297024793	0.984475247603306	0.987772277190083	0.989970297024793	0.938118811900826	0.882326732727273	1.00145544561983	1.00565346528926	1.01062376231405	1.02428712876033	1.00905940595041	1.0161683168595									1833.645806496	1691.2920556958272	1524.175704599591	1317.679385489734						-1.0		74.744				90.7156774193548	58.715677419354805
20	2030	5	20	6148	2395	2190	8543	0	0.981553719008264	0.97597520661157	1.00089256198347	1.01922772280992	0.991138613884297	0.991504950413223	0.988613861322314	0.993653465289256	0.987277227768595	0.927039603966942	0.866029702975207	0.994188118842975	0.99817821785124	1.00271287123967	1.02364356429752	1.00705940595041	1.02450495041322									2177.791566496	1866.199788527828	1569.9757402603334	1348.7036869254816						-1.0		74.744				90.7156774193548	58.715677419354805
21	2030	6	21	6102	1158	2022	7260	0	0.981826446280992	0.975586776859504	0.998801652892562	1.00606930694215	0.986980198016529	0.986980198016529	0.983227722809917	0.989653465289256	0.988029702975207	0.931039603966942	0.883792079173554	0.986009900991735	0.990158415867769	0.986158415867769	0.996673267272727	0.989415841652893	0.996138613884297									1876.799150496	1577.4274169566274	1354.2004661166177	1219.1523019120975						-1.0		74.744				101.106	69.106
22	2030	6	22	6083	505	1510	6588	0	0.990743801652893	0.983669421487603	0.997842975206612	1.02928712876033	1.00462376231405	1.00464356429752	0.995128712892562	1.00404950495868	0.990168316859504	0.935881188099174	0.879297029752066	0.983752475206612	0.991019801983471	0.987	0.986544554380165	0.98553465338843	0.990198019834711					6042.8321985004	5960.187812537428	5963.235803941224	5964.271773940158	1703.490794496	1442.8268886774272	1284.5281757150158	1151.2484016247442						-1.0		74.744				101.106	69.106
23	2030	6	23	6007	278	990	6285	0	1.00333884297521	0.994925619834711	1.00047107438017	1.03076237619835	1.0128613861157	1.01057425735537	1.00502970297521	1.01394059404959	0.992762376198347	0.944841584132231	0.901495049586777	0.990475247603306	0.99691089107438	0.991247524793388	0.992495049586777	0.996118811900826	1.00548514859504					6083.0	6013.6072420304	6056.9204053504	6007.796769077292	1274.8381808959998	1166.426959549907	1064.1302490367427	957.830233378002						-1.0		74.744				101.106	69.106
24	2030	6	24	5952	520	788	6472	0	1.01747107438017	1.01020661157025	1.00147107438017	1.04012871289256	1.02346534661157	1.02257425735537	1.01503960396694	1.02296039603306	0.998306930743802	0.971188118842975	0.962346534710744	0.998415841652893	1.00815841586777	1.00184158413223	1.00343564363636	1.00990099008264	1.01448514859504					6007.0	6056.9204053504	6004.0385698104	5988.952041893708	919.130450896	890.2732153639073	829.5834288164579	765.364527520423						-1.0		74.744				101.106	69.106
